id,description,account_id/id,refund_account_id/id,name,type_tax_use,tax_group_id/id,amount_type,amount,percent_report
account_tax302,302,20107010201,20107010201,RET. EN RELACIÓN DE DEPENDENCIA QUE SUPERA O NO LA BASE DESGRAVADA,purchase,l10n_ec_tax.ret_ir,percent,0,0
account_tax303,303,20107010202,20107010202,RET. HONORARIOS PROFESIONALES ,purchase,l10n_ec_tax.ret_ir,percent,-1,1
account_tax304,304,20107010203,20107010203,RET. PREDOMINA EL INTELECTO,purchase,l10n_ec_tax.ret_ir,percent,-8,8
account_tax307,307,20107010204,20107010204,RET. PREDOMINA MANO DE OBRA,purchase,l10n_ec_tax.ret_ir,percent,-2,2
account_tax308,308,20107010205,20107010205,RET. SERVICIOS UTILIZACIÓN O APROVECHAMIENTO DE LA IMAGEN O RENOMBRE,purchase,l10n_ec_tax.ret_ir,percent,-1,1
account_tax309,309,20107010206,20107010206,RET. PUBLICIDAD Y COMUNICACIÓN,purchase,l10n_ec_tax.ret_ir,percent,-1,1
account_tax310,310,20107010207,20107010207,RET. TRANS. PRIVADO DE PASAJEROS O SERV. PÚBLICO O PRIVADO DE CARGA,purchase,l10n_ec_tax.ret_ir,percent,-1,1
account_tax312,312,20107010208,20107010208,RET. TRANSFERENCIA DE BIENES MUEBLES DE NATURALEZA CORPORAL,purchase,l10n_ec_tax.ret_ir,percent,-1,1
account_tax320,320,20107010209,20107010209,RET. ARRENDAMIENTO BIENES INMUEBLES,purchase,l10n_ec_tax.ret_ir,percent,-8,8
account_tax322,322,20107010210,20107010210,RET. SEGUROS Y REASEGUROS (PRIMAS Y CESIONES),purchase,l10n_ec_tax.ret_ir,percent,-1,1
account_tax332,332,20107010211,20107010211,RET. PAGOS DE BIENES O SERVICIOS NO SUJETOS A RETENCIÓN,purchase,l10n_ec_tax.no_ret_ir,percent,0,0
account_tax343,343,20107010212,20107010212,RET. APLICABLES EL 1%,purchase,l10n_ec_tax.ret_ir,percent,-1,1
