id,name,applicability,color
account_tag_operativas,Actividades Opertivas,Cuentas,
account_tag_financieras,Actividades Financieras,Cuentas,
account_tag_inversion,Actividades de Inversion y Extraordinarias,Cuentas,
tax_tag_ret_ir,Retencion Impuesto a la Renta,Impuestos,
tax_tag_no_ret_ir,No sujeto a Retencion Impuesto a la Renta,Impuestos,
tax_tag_vat,IVA diferente de 0%,Impuestos,
tax_tag_vat0,IVA 0,Impuestos,
tax_tag_novat,No objeto de IVA,Impuestos,
tax_tag_ret_vat_srv,Retención IVA Servicios,Impuestos,
tax_tag_ret_vat_b,Retención IVA Bienes,Impuestos,
tax_tag_ice,Impuesto a Consumos Especiales,Impuestos,
tax_tag_isd,Impuesto a la Salida de Capitales,Impuestos,
tax_tag_iad,Impuesto Aduanas,Impuestos,
tax_tag_isb,Contribucion Super de Bancos,Impuestos,
tax_tag_comp,Compensaciones Tributarias,Impuestos,
